13,20,22,22,23,23,24,24,24,23,19,17,17,18,20,27,24,17,15,15,15,14,9,5,4,5,8,13,14,14
6,13,20,22,23,23,24,24,24,23,19,18,18,20,28,34,33,21,16,15,15,13,6,4,4,4,6,12,14,14
4,5,13,19,18,20,22,23,23,23,20,18,20,27,35,37,37,31,19,15,14,10,5,4,4,4,5,10,13,14
4,3,4,5,5,5,10,20,22,22,22,21,25,34,37,37,37,35,27,15,12,7,5,4,4,4,5,8,14,15
3,3,3,2,2,2,3,12,21,22,22,22,25,35,37,38,37,33,24,13,8,6,6,5,4,4,6,12,19,19
4,3,2,1,1,1,3,12,21,22,22,22,23,31,36,36,32,22,17,14,9,7,6,6,6,5,12,19,20,21
7,4,3,2,1,2,4,12,20,21,22,22,22,26,32,28,20,17,16,15,10,7,6,6,7,9,19,20,21,21
15,11,8,6,4,5,9,12,15,19,21,22,22,22,20,17,16,16,16,15,12,7,7,8,12,18,23,21,21,21
16,18,18,17,16,13,12,12,13,14,18,21,22,20,19,18,17,16,16,15,13,9,11,18,25,27,26,22,21,21
17,19,20,20,19,15,12,12,12,14,17,23,22,20,19,19,18,17,16,16,16,18,24,28,29,30,29,24,22,21
15,18,20,20,19,17,13,13,14,17,27,33,25,20,19,19,19,19,19,22,26,29,29,30,30,30,30,28,25,25
12,15,19,20,19,18,13,14,20,31,36,37,30,21,19,19,19,20,25,28,29,29,30,30,29,29,28,28,28,27
10,11,15,18,16,12,8,21,33,37,38,38,35,23,20,19,20,21,27,29,29,29,29,27,25,23,22,26,28,28
10,10,11,8,4,2,3,16,35,38,39,39,38,30,24,22,22,24,28,29,29,29,28,21,19,19,19,24,27,28
11,10,8,2,0,0,1,8,31,38,39,39,39,39,37,35,32,30,30,30,29,29,26,20,18,18,19,22,27,28
14,14,8,2,0,0,1,4,23,36,39,39,40,40,40,39,39,35,33,32,31,30,26,19,18,17,17,19,25,27
27,27,20,4,1,0,1,5,20,34,37,39,40,40,40,40,39,35,34,34,34,33,29,17,15,14,12,11,15,23
31,30,27,11,2,2,4,17,29,33,34,36,39,40,40,40,38,35,34,34,34,33,29,13,10,9,9,9,10,13
31,31,29,23,7,6,17,29,32,33,33,34,37,39,38,38,37,35,34,34,34,33,29,13,9,8,8,8,9,9
31,31,30,27,17,17,28,32,33,33,33,33,35,37,36,36,36,35,34,34,34,32,28,15,10,9,8,8,9,10
31,31,31,32,32,31,32,32,33,33,33,33,35,36,36,36,36,36,35,34,35,35,33,29,18,12,9,9,10,11
32,32,34,34,35,34,33,33,33,33,33,32,34,35,35,35,35,34,33,34,36,37,36,35,33,26,13,11,11,11
34,34,35,35,35,35,34,32,31,30,30,29,30,32,33,32,29,28,28,31,36,37,37,37,36,34,22,13,11,11
34,35,35,35,35,35,34,30,28,28,27,27,27,27,27,26,26,26,26,29,36,37,37,37,37,35,26,13,11,11
17,26,35,35,35,35,34,29,27,27,27,27,27,26,25,25,25,25,25,27,34,36,36,37,37,36,29,15,12,12
8,12,29,34,35,35,33,28,27,27,27,27,26,25,24,25,25,25,24,24,30,33,34,35,34,35,30,17,14,14
6,7,17,28,29,34,32,30,28,27,27,26,23,17,19,23,24,22,20,16,16,19,19,20,20,20,24,24,23,23
6,6,9,18,22,30,32,31,30,28,25,21,13,9,9,13,17,15,14,13,11,5,5,4,5,6,15,25,26,26
8,8,8,13,25,30,32,32,31,29,19,11,8,7,7,9,12,13,13,13,11,4,2,2,2,4,14,25,26,26
9,9,9,14,26,31,32,32,32,29,13,8,7,7,7,8,12,13,13,13,11,4,2,2,2,4,14,25,26,26
