[PRT],[MEX],[ISL],[FIN],[FRA],[FRA],[DEU],[DEU],[DEU],[FRA],[IND],[JAM],[JAM],[ISL],[CUB],[BRA],[CHN],[GRC],[ITA],[JPN],[JPN],[MEX],[PRT],[ESP],[ESP],[ESP],[PRT],[NLD],[LUX],[LUX]
[ESP],[QAT],[MEX],[IND],[JAM],[ISL],[FIN],[FRA],[FRA],[FRA],[ISL],[JAM],[ISL],[ECU],[AUS],[AFG],[AFG],[CAN],[IND],[JPN],[LUX],[NZL],[QAT],[ESP],[ESP],[ESP],[QAT],[NZL],[MEX],[LUX]
[ESP],[CHE],[ESP],[QAT],[QAT],[QAT],[NZL],[ISL],[FIN],[FIN],[FIN],[GRC],[EGY],[BRA],[AFG],[AFG],[AFG],[AUS],[ECU],[JPN],[NLD],[PER],[QAT],[ESP],[ESP],[ESP],[QAT],[PAN],[LUX],[JPN]
[CHE],[CHE],[CHE],[VNM],[VNM],[VNM],[CHE],[NLD],[GRC],[FIN],[FIN],[FIN],[EGY],[AUS],[AFG],[IRL],[AFG],[CHN],[DEU],[MEX],[PAN],[PRT],[PRT],[QAT],[ESP],[ESP],[PRT],[NLD],[IND],[IND]
[ESP],[CHE],[VNM],[GBR],[GBR],[GBR],[CHE],[NLD],[GRC],[FIN],[FIN],[FIN],[FRA],[CAN],[ARG],[ARG],[COL],[FIN],[ISR],[LUX],[NOR],[PER],[PRT],[PRT],[PRT],[QAT],[NLD],[IND],[ISL],[GRC]
[PER],[ESP],[CHE],[VNM],[GBR],[VNM],[ESP],[NLD],[ISL],[GRC],[FIN],[FIN],[FIN],[ETH],[COL],[CUB],[ISL],[ISR],[ITA],[JPN],[NZL],[PER],[PRT],[PRT],[PER],[NOR],[IND],[ISL],[GRC],[GRC]
[JPN],[NIC],[PAN],[PRT],[ESP],[QAT],[NOR],[NLD],[JPN],[IND],[GRC],[FIN],[FIN],[FIN],[ISL],[ISR],[ITA],[ITA],[ITA],[JPN],[NLD],[PER],[PER],[PAN],[NLD],[JAM],[FRA],[GRC],[GRC],[GRC]
[ITA],[JAM],[JAM],[ISR],[ITA],[MEX],[NLD],[NLD],[MEX],[LUX],[JAM],[GRC],[FIN],[ISL],[IND],[JAM],[ISR],[ITA],[ITA],[JPN],[MEX],[NOR],[NIC],[JAM],[EGY],[ECU],[ETH],[FIN],[GRC],[GRC]
[ISR],[IND],[ISL],[ISL],[IND],[JPN],[NLD],[NLD],[NLD],[LUX],[ISR],[FRA],[FIN],[ISL],[IND],[IND],[JAM],[ISR],[ITA],[ITA],[ITA],[JAM],[DEU],[CUB],[CRI],[CHL],[CRI],[DEU],[FIN],[GRC]
[JPN],[JAM],[ISL],[ISL],[IND],[ISR],[MEX],[MEX],[LUX],[ISR],[ECU],[CHN],[EGY],[ISL],[IND],[IND],[IND],[IND],[IND],[FIN],[ETH],[CRI],[CRI],[CHL],[CHL],[CHL],[CHL],[CUB],[EGY],[EGY]
[NLD],[JPN],[IND],[ISL],[IND],[JAM],[MEX],[LUX],[ISL],[CAN],[ARG],[AFG],[CHL],[GRC],[IND],[IND],[IND],[ISL],[EGY],[CUB],[CRI],[CRI],[CHL],[CHL],[CRI],[CRI],[CUB],[CUB],[CUB],[ECU]
[NZL],[NIC],[JPN],[JAM],[ITA],[NLD],[PAN],[GRC],[CHN],[AFG],[IRL],[IRL],[AUS],[FRA],[ISL],[IND],[ISL],[GRC],[ECU],[CRI],[CRI],[CRI],[CRI],[ECU],[EGY],[FRA],[FIN],[ETH],[CUB],[CUB]
[NZL],[NZL],[NIC],[PAN],[ESP],[VNM],[CHE],[ITA],[AUS],[IRL],[POL],[POL],[IRL],[CHL],[DEU],[FIN],[FIN],[DEU],[CUB],[CRI],[CRI],[CRI],[CUB],[GRC],[IND],[IND],[IND],[DEU],[ECU],[CUB]
[NIC],[NZL],[PAN],[VNM],[USA],[USA],[GBR],[PAN],[CAN],[IRL],[POL],[POL],[POL],[POL],[AFG],[AUS],[COL],[CHL],[CHL],[CHL],[CRI],[CRI],[ETH],[ISL],[JAM],[JAM],[IND],[FIN],[ECU],[CUB]
[LUX],[LUX],[PAN],[VNM],[USA],[USA],[GBR],[ESP],[FRA],[ARG],[POL],[POL],[ROU],[ROU],[ROU],[POL],[POL],[AUS],[CHN],[COL],[CAN],[CHL],[ETH],[IND],[JAM],[ISR],[ISR],[IND],[EGY],[ECU]
[ECU],[ECU],[ISL],[ESP],[GBR],[USA],[GBR],[QAT],[ISL],[BRA],[AFG],[POL],[ROU],[ROU],[ROU],[ROU],[POL],[AUS],[BRA],[BRA],[BRA],[CHN],[CRI],[ISR],[JPN],[LUX],[NLD],[NIC],[JPN],[FRA]
[CAN],[CHL],[ECU],[NIC],[VNM],[VNM],[ESP],[ISR],[CRI],[CHN],[BRA],[ARG],[POL],[ROU],[ROU],[ROU],[IRL],[AUS],[BRA],[BRA],[BRA],[CHN],[CRI],[MEX],[NZL],[NOR],[NOR],[NOR],[NZL],[MEX]
[CAN],[CAN],[CRI],[FRA],[PER],[PRT],[ISR],[CRI],[COL],[CHN],[CHN],[BRA],[AFG],[POL],[IRL],[IRL],[AFG],[AUS],[BRA],[BRA],[BRA],[CHN],[CRI],[MEX],[NOR],[PAN],[PAN],[PAN],[NOR],[NOR]
[CAN],[CAN],[CHL],[ECU],[ISR],[ISR],[CUB],[COL],[CHN],[CHN],[CHN],[CHN],[AUS],[AFG],[ARG],[ARG],[ARG],[AUS],[BRA],[BRA],[BRA],[COL],[CUB],[JPN],[NZL],[NOR],[PAN],[PAN],[NOR],[NZL]
[CAN],[CAN],[CAN],[COL],[COL],[CAN],[COL],[COL],[CHN],[CHN],[CHN],[CHN],[AUS],[ARG],[ARG],[ARG],[ARG],[ARG],[AUS],[BRA],[AUS],[AUS],[CHN],[CRI],[JAM],[NLD],[NOR],[NOR],[NZL],[NIC]
[COL],[COL],[BRA],[BRA],[AUS],[BRA],[CHN],[CHN],[CHN],[CHN],[CHN],[COL],[BRA],[AUS],[AUS],[AUS],[AUS],[BRA],[CHN],[BRA],[ARG],[AFG],[ARG],[AUS],[CHN],[ETH],[MEX],[NIC],[NIC],[NIC]
[BRA],[BRA],[AUS],[AUS],[AUS],[AUS],[BRA],[COL],[CAN],[CHL],[CHL],[CRI],[CHL],[COL],[CHN],[COL],[CRI],[CUB],[CUB],[CAN],[ARG],[AFG],[AFG],[AFG],[ARG],[BRA],[FIN],[MEX],[NIC],[NIC]
[BRA],[AUS],[AUS],[AUS],[AUS],[AUS],[BRA],[CHL],[CUB],[CUB],[ECU],[ECU],[ECU],[ECU],[ECU],[ETH],[ETH],[ETH],[ETH],[CRI],[ARG],[AFG],[AFG],[AFG],[AFG],[AUS],[ETH],[MEX],[NIC],[NIC]
[ISR],[ETH],[AUS],[AUS],[AUS],[AUS],[BRA],[CRI],[ECU],[ECU],[ECU],[ECU],[ECU],[ETH],[EGY],[EGY],[EGY],[EGY],[EGY],[ECU],[BRA],[ARG],[ARG],[AFG],[AFG],[ARG],[CRI],[JPN],[NLD],[NLD]
[PAN],[NLD],[CRI],[BRA],[AUS],[AUS],[CHN],[CUB],[ECU],[ECU],[ECU],[ECU],[ETH],[EGY],[DEU],[EGY],[EGY],[EGY],[DEU],[DEU],[CHL],[CHN],[BRA],[AUS],[BRA],[AUS],[CHL],[ISR],[LUX],[LUX]
[PRT],[PER],[ISR],[CUB],[CRI],[BRA],[COL],[CHL],[CUB],[ECU],[ECU],[ETH],[FRA],[ISR],[IND],[FRA],[DEU],[FIN],[ISL],[ITA],[ITA],[IND],[IND],[ISL],[ISL],[ISL],[DEU],[DEU],[FRA],[FRA]
[PRT],[PRT],[NOR],[JAM],[FIN],[CHL],[COL],[CAN],[CHL],[CUB],[EGY],[GRC],[MEX],[NOR],[NOR],[MEX],[ISR],[JPN],[LUX],[MEX],[NIC],[QAT],[QAT],[ESP],[QAT],[PRT],[JPN],[EGY],[ETH],[ETH]
[PAN],[PAN],[PAN],[MEX],[EGY],[CHL],[COL],[COL],[CAN],[CRI],[IND],[NIC],[PAN],[PER],[PER],[NOR],[NLD],[MEX],[MEX],[MEX],[NIC],[ESP],[VNM],[VNM],[VNM],[ESP],[LUX],[EGY],[ETH],[ETH]
[NOR],[NOR],[NOR],[LUX],[ETH],[CAN],[COL],[COL],[COL],[CRI],[MEX],[PAN],[PER],[PER],[PER],[PAN],[NLD],[MEX],[MEX],[MEX],[NIC],[ESP],[VNM],[VNM],[VNM],[ESP],[LUX],[EGY],[ETH],[ETH]
